window_miles,n_windows,covered_miles,episodes_in_complete_windows,mean_count,variance_count,dispersion_index,window_count_cv,replicate,total_miles,enough_windows_for_reliable_dispersion
50000.0,10,500000.0,19274,1927.4,2599.3777777777777,1.3486446911786747,0.02645226386840963,2,500000.0,False
100000.0,5,500000.0,19274,3854.8,3625.7,0.9405676040261491,0.015620469491787352,2,500000.0,False
1000.0,1000,1000000.0,37499,37.499,159.95595495495496,4.265605881622308,0.33727218025983646,2,1000000.0,True
5000.0,200,1000000.0,37499,187.495,720.3718341708543,3.842085571193121,0.14314911627698954,2,1000000.0,True
10000.0,100,1000000.0,37499,374.99,1430.3938383838383,3.8144852886312655,0.10085748375407824,2,1000000.0,True
25000.0,40,1000000.0,37499,937.475,2804.6660256410255,2.99172353997816,0.056491210609793695,2,1000000.0,True
50000.0,20,1000000.0,37499,1874.95,7001.102631578948,3.7340209774015025,0.04462657237685253,2,1000000.0,False
100000.0,10,1000000.0,37499,3749.9,16785.433333333334,4.476234921820137,0.03454988390243072,2,1000000.0,False
1000.0,2000,2000000.0,75511,37.7555,170.9021708354177,4.526550326056276,0.3462530148951199,2,2000000.0,True
5000.0,400,2000000.0,75511,188.7775,834.2987406015037,4.41948187999896,0.1530067405479833,2,2000000.0,True
10000.0,200,2000000.0,75511,377.555,1505.8160552763818,3.988335620707928,0.10277931896161539,2,2000000.0,True
25000.0,80,2000000.0,75511,943.8875,3507.5441455696205,3.716061655196854,0.06274531994249807,2,2000000.0,True
50000.0,40,2000000.0,75511,1887.775,6990.999358974359,3.703301166174125,0.044291399257544245,2,2000000.0,True
100000.0,20,2000000.0,75511,3775.55,17481.102631578946,4.630081082644633,0.035019035881312645,2,2000000.0,False
1000.0,100,100000.0,3832,38.32,269.22989898989897,7.025832437105923,0.4281896285082748,3,100000.0,True
5000.0,20,100000.0,3832,191.6,1426.2526315789473,7.443907262938139,0.19710730711056504,3,100000.0,False
10000.0,10,100000.0,3832,383.2,2175.733333333333,5.677800974251913,0.12172431305175861,3,100000.0,False
